-Нет	EX_MARK
Нет	COMMA
я…	O
тебе	O
не	O
разрешаю	PERIOD
Ты	O
не	O
пойдешь…	O
-Почему	O
нет	Q_MARK
В	O
худшем	O
случае	O
ты	O
получишь	O
несколько	O
старобаксов	O
как	O
мать-одиночка	PERIOD
Так	O
или	O
иначе	COMMA
ты	O
сможешь	O
за	O
ней	O
приглядеть	PERIOD
Она	O
никогда	O
не	O
ходила	O
в	O
красавицах	COMMA
а	O
за	O
те	O
несколько	O
лет	COMMA
что	O
муж	O
не	O
работал	COMMA
совсем	O
усохла	COMMA
но	O
тут	O
как	O
по	O
мановению	O
волшебной	O
палочки	O
превратилась	O
в	O
красивую…	O
и	O
властную	O
женщину	PERIOD
-Я	O
скорее	O
навру	O
чиновнику	COMMA
когда	O
он	O
придет	O
сюда	COMMA
и	O
пошлю	O
его	O
прочь	O
с	O
кровавыми	O
деньгами	O
в	O
кармане	PERIOD
И	O
никому	O
не	O
заставить	O
меня	O
взять	O
деньги	O
за	O
мужа	PERIOD
Он	O
повернулся	O
к	O
ней	COMMA
мрачный	COMMA
суровый	COMMA
обладающий	O
особыми	O
качествами	COMMA
отличающими	O
его	O
от	O
общей	O
массы	COMMA
невидимыми	O
для	O
окружающих	COMMA
но	O
хладнокровно	O
просчитанными	O
Сетью	PERIOD
Для	O
настоящего	O
он-	O
динозавр	PERIOD
Не	O
очень	O
большой	COMMA
но	O
не	O
такой	COMMA
как	O
все	PERIOD
Выделяющиеся-	O
помеха	PERIOD
Может	COMMA
даже	O
опасность	PERIOD
Большие	O
облака	O
собираются	O
вокруг	O
маленьких	O
частичек-конденсаторов	PERIOD
Он	O
указал	O
на	O
спальню	PERIOD
-Как	O
насчет	O
того	COMMA
чтобы	O
зарыть	O
ее	O
в	O
безымянной	O
могиле	Q_MARK
Тебя	O
это	O
устроит	Q_MARK
Волна	O
печали	O
и	O
безысходности	O
захлестнула	O
ее	PERIOD
Лицо	O
сморщилось	COMMA
потекли	O
слезы	PERIOD
