-Почему	Q_MARK
Вы	O
получите	O
соответствующее	O
вознаграждение	PERIOD
Старик	O
приподнял	O
мешочек	O
и	O
свободной	O
рукой	O
начал	O
сгребать	O
монеты	O
в	O
кучку	PERIOD
-Разговор	O
у	O
нас	O
не	O
получится	COMMA
сказал	O
он.-	O
Я	O
не	O
хотел	O
признаваться	O
сначала	COMMA
но	O
теперь	O
вынужден	O
сказать	COLUMN
это	O
коллекция	O
моего	O
покойного	O
сына	PERIOD
Придется	O
везти	O
ее	O
в	O
область	PERIOD
-Оставьте	O
свой	O
адрес	COMMA
сказала	O
Алла	COMMA
не	O
надеясь	O
на	O
то	COMMA
что	O
старик	O
ее	O
послушает	PERIOD
Монеты	O
она	O
успела	O
разглядеть	PERIOD
К	O
счастью	COMMA
это	O
были	O
рубли	O
второй	O
половины	O
XVIII	O
века	COMMA
большой	O
ценности	O
они	O
не	O
представляли	PERIOD
-И	O
не	O
подумаю	COMMA
сказал	O
старик	PERIOD
Старик	O
вернулся	O
домой	O
огородами	PERIOD
Эта	O
ворона	O
из	O
музея	O
могла	O
устроить	O
за	O
ним	O
слежку	PERIOD
Старик	O
был	O
собой	O
недоволен	PERIOD
Он	O
даже	O
порой	O
смотрел	O
на	O
себя	O
со	O
стороны	O
и	O
удивлялся	O
тому	COMMA
как	O
некрасиво	O
и	O
неправильно	O
он	O
живет	PERIOD
Скупость	O
влекла	O
его	O
к	O
необдуманным	O
поступкам	PERIOD
В	O
предвкушении	O
денег	O
он	O
терял	O
осторожность	PERIOD
На	O
лестнице	O
сидел	O
грузный	O
мужчина	COMMA
сосед	O
Северов	COMMA
которого	O
выгоняли	O
курить	O
из	O
дома	PERIOD
Он	O
курил	O
с	O
наслаждением	PERIOD
Старик	O
набрал	O
в	O
легкие	O
воздуха	O
и	O
задержал	O
дыхание	COMMA
чтобы	O
не	O
отравиться	O
дымом	PERIOD
Старик	O
не	O
любил	O
Северова	O
за	O
вялость	O
мыслей	O
и	O
готовность	O
заранее	O
со	O
всем	O
согласиться	PERIOD
Он	O
сторонился	O
его	O
жены	COMMA
считавшей	O
весь	O
мир	O
своей	O
собственностью	COMMA
а	O
Северова	O
–	O
вещью	COMMA
от	O
которой	O
пользы	O
немного	COMMA
но	O
выкинуть	O
жалко	PERIOD
Их	O
дочка	O
Светлана	O
в	O
шесть	O
лет	O
была	O
похожа	O
на	O
отца	PERIOD
В	O
ней	O
его	O
раздражала	O
добродушная	O
лень	O
и	O
привязанность	O
к	O
нему	COMMA
старику	COMMA
незаслуженная	O
и	O
ненужная	PERIOD
Старик	O
прошел	O
к	O
себе	O
в	O
комнату	COMMA
не	O
раздеваясь	COMMA
бросил	O
мешочек	O
с	O
монетами	O
на	O
стол	COMMA
монеты	O
звякнули	COMMA
а	O
Светлана	O
спросила	O
от	O
двери	COLUMN
